,,,S01,S01,S02,S02,S03,S03,S04,S04,S05,S05,S06,S06,S07,S07,S08,S08,S09,S09,S10,S10,S11,S11,S12,S12,S13,S13,S14,S14,S15,S15,S16,S16,S17,S17,S18,S18,S19,S19,S20,S20,S21,S21,S22,S22,S23,S23,S24,S24,S25,S25,S26,S26,S27,S27,S28,S28,S29,S29,S30,S30,S31,S31,S32,S32,S33,S33,S34,S34,S35,S35,S36,S36,S37,S37,S38,S38,S39,S39,S40,S40,S41,S41,S42,S42,S43,S43,S44,S44,S45,S45,S46,S46,S47,S47,S48,S48,S49,S49,S50,S50,S51,S51
1400000US25001010304,25001010304,"Census Tract 103.04, Barnstable County, Massachusetts",2706,100.0,1179,43.6,1527,56.4,1179,100.0,1023,86.8,566,48.0,457,38.8,156,13.2,1527,100.0,45,2.9,8,0.5,28,1.8,1,0.1,1420,93.0,0,0.0,25,1.6,1179,100.0,1023,86.8,1017,86.3,1003,85.1,2,0.2,4,0.3,1,0.1,0,0.0,3,0.3,4,0.3,6,0.5,6,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,156,13.2,151,12.8,147,12.5,2,0.2,0,0.0,1,0.1,0,0.0,0,0.0,1,0.1,5,0.4,4,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0
1400000US25001010306,25001010306,"Census Tract 103.06, Barnstable County, Massachusetts",3254,100.0,1209,37.2,2045,62.8,1209,100.0,1027,84.9,611,50.5,416,34.4,182,15.1,2045,100.0,28,1.4,7,0.3,22,1.1,6,0.3,1908,93.3,1,0.0,73,3.6,1209,100.0,1027,84.9,1019,84.3,1003,83.0,4,0.3,3,0.2,1,0.1,0,0.0,1,0.1,7,0.6,8,0.7,8,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,182,15.1,181,15.0,177,14.6,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,3,0.2,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1400000US25001010400,25001010400,"Census Tract 104, Barnstable County, Massachusetts",2359,100.0,1494,63.3,865,36.7,1494,100.0,1099,73.6,622,41.6,477,31.9,395,26.4,865,100.0,54,6.2,11,1.3,45,5.2,3,0.3,713,82.4,5,0.6,34,3.9,1494,100.0,1099,73.6,1089,72.9,1070,71.6,2,0.1,2,0.1,6,0.4,0,0.0,1,0.1,8,0.5,10,0.7,8,0.5,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,1,0.1,395,26.4,380,25.4,359,24.0,11,0.7,1,0.1,1,0.1,0,0.0,2,0.1,6,0.4,15,1.0,10,0.7,0,0.0,0,0.0,0,0.0,0,0.0,3,0.2,2,0.1
1400000US25001010500,25001010500,"Census Tract 105, Barnstable County, Massachusetts",2985,100.0,1456,48.8,1529,51.2,1456,100.0,1164,79.9,621,42.7,543,37.3,292,20.1,1529,100.0,90,5.9,4,0.3,37,2.4,2,0.1,1341,87.7,0,0.0,55,3.6,1456,100.0,1164,79.9,1160,79.7,1156,79.4,1,0.1,0,0.0,2,0.1,0,0.0,0,0.0,1,0.1,4,0.3,3,0.2,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,292,20.1,291,20.0,276,19.0,6,0.4,0,0.0,3,0.2,0,0.0,3,0.2,3,0.2,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1400000US25001010600,25001010600,"Census Tract 106, Barnstable County, Massachusetts",2998,100.0,1536,51.2,1462,48.8,1536,100.0,1156,75.3,584,38.0,572,37.2,380,24.7,1462,100.0,49,3.4,5,0.3,63,4.3,2,0.1,1305,89.3,2,0.1,36,2.5,1536,100.0,1156,75.3,1151,74.9,1135,73.9,3,0.2,3,0.2,4,0.3,0,0.0,2,0.1,4,0.3,5,0.3,4,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,380,24.7,371,24.2,351,22.9,14,0.9,1,0.1,1,0.1,0,0.0,3,0.2,1,0.1,9,0.6,5,0.3,1,0.1,0,0.0,0,0.0,0,0.0,3,0.2,0,0.0
1400000US25001010700,25001010700,"Census Tract 107, Barnstable County, Massachusetts",4345,100.0,1549,35.7,2796,64.3,1549,100.0,1233,79.6,626,40.4,607,39.2,316,20.4,2796,100.0,80,2.9,5,0.2,74,2.6,6,0.2,2578,92.2,3,0.1,50,1.8,1549,100.0,1233,79.6,1226,79.1,1216,78.5,0,0.0,0,0.0,1,0.1,0,0.0,1,0.1,8,0.5,7,0.5,6,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,316,20.4,302,19.5,281,18.1,15,1.0,0,0.0,3,0.2,0,0.0,1,0.1,2,0.1,14,0.9,11,0.7,0,0.0,1,0.1,0,0.0,0,0.0,2,0.1,0,0.0
1400000US25001010800,25001010800,"Census Tract 108, Barnstable County, Massachusetts",3788,100.0,2164,57.1,1624,42.9,2164,100.0,1818,84.0,1185,54.8,633,29.3,346,16.0,1624,100.0,123,7.6,16,1.0,35,2.2,11,0.7,1391,85.7,1,0.1,47,2.9,2164,100.0,1818,84.0,1807,83.5,1790,82.7,2,0.1,2,0.1,7,0.3,0,0.0,1,0.0,5,0.2,11,0.5,7,0.3,0,0.0,0,0.0,1,0.0,0,0.0,2,0.1,1,0.0,346,16.0,344,15.9,334,15.4,3,0.1,0,0.0,4,0.2,0,0.0,0,0.0,3,0.1,2,0.1,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
1400000US25001010900,25001010900,"Census Tract 109, Barnstable County, Massachusetts",4160,100.0,2219,53.3,1941,46.7,2219,100.0,1792,80.8,1249,56.3,543,24.5,427,19.2,1941,100.0,117,6.0,5,0.3,24,1.2,7,0.4,1754,90.4,0,0.0,34,1.8,2219,100.0,1792,80.8,1776,80.0,1755,79.1,4,0.2,0,0.0,9,0.4,0,0.0,2,0.1,6,0.3,16,0.7,15,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,427,19.2,420,18.9,399,18.0,9,0.4,2,0.1,3,0.1,0,0.0,1,0.0,6,0.3,7,0.3,4,0.2,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0
1400000US25001011002,25001011002,"Census Tract 110.02, Barnstable County, Massachusetts",3512,100.0,1800,51.3,1712,48.7,1800,100.0,1432,79.6,932,51.8,500,27.8,368,20.4,1712,100.0,57,3.3,6,0.4,50,2.9,7,0.4,1546,90.3,1,0.1,45,2.6,1800,100.0,1432,79.6,1421,78.9,1356,75.3,11,0.6,4,0.2,3,0.2,1,0.1,39,2.2,7,0.4,11,0.6,4,0.2,0,0.0,2,0.1,1,0.1,0,0.0,4,0.2,0,0.0,368,20.4,360,20.0,322,17.9,14,0.8,1,0.1,2,0.1,1,0.1,11,0.6,9,0.5,8,0.4,6,0.3,0,0.0,1,0.1,0,0.0,0,0.0,1,0.1,0,0.0
1400000US25001011100,25001011100,"Census Tract 111, Barnstable County, Massachusetts",3084,100.0,2102,68.2,982,31.8,2102,100.0,1778,84.6,1144,54.4,634,30.2,324,15.4,982,100.0,21,2.1,3,0.3,32,3.3,8,0.8,880,89.6,0,0.0,38,3.9,2102,100.0,1778,84.6,1767,84.1,1722,81.9,9,0.4,2,0.1,8,0.4,0,0.0,11,0.5,15,0.7,11,0.5,7,0.3,0,0.0,1,0.0,0,0.0,0,0.0,3,0.1,0,0.0,324,15.4,313,14.9,287,13.7,7,0.3,3,0.1,2,0.1,0,0.0,7,0.3,7,0.3,11,0.5,6,0.3,0,0.0,1,0.0,0,0.0,0,0.0,3,0.1,1,0.0
1400000US25001011200,25001011200,"Census Tract 112, Barnstable County, Massachusetts",3688,100.0,1721,46.7,1967,53.3,1721,100.0,1303,75.7,768,44.6,535,31.1,418,24.3,1967,100.0,88,4.5,10,0.5,70,3.6,10,0.5,1737,88.3,1,0.1,51,2.6,1721,100.0,1303,75.7,1299,75.5,1274,74.0,3,0.2,3,0.2,3,0.2,0,0.0,10,0.6,6,0.3,4,0.2,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,418,24.3,412,23.9,389,22.6,6,0.3,0,0.0,0,0.0,0,0.0,13,0.8,4,0.2,6,0.3,5,0.3,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
